Track.Name,Artist.Name,Genre,Popularity,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.
Senorita,Shawn Mendes,canadian pop,79.0,117,55,76,-6,8,75,191,4,3
China,Anuel AA,reggaeton flow,92.0,105,81,79,-4,8,61,302,8,9
boyfriend (with Social House),Ariana Grande,dance pop,85.0,190,80,40,-4,16,70,186,12,46
Beautiful People (feat. Khalid),Ed Sheeran,pop,,93,65,64,-8,8,55,198,12,19
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,94.0,150,65,58,-4,11,18,175,45,7
I Don't Care (with Justin Bieber),Ed Sheeran,pop,84.0,102,68,80,-5,9,84,220,9,4
Ransom,Lil Tecca,trap music,92.0,180,64,75,-6,7,23,131,2,29
How Do You Sleep?,Sam Smith,pop,90.0,111,68,48,-5,8,35,202,15,9
Old Town Road - Remix,Lil Nas X,country rap,87.0,136,62,88,-6,11,64,157,5,10
bad guy,Billie Eilish,electropop,95.0,135,43,70,-11,10,56,194,33,38
Callaita,Bad Bunny,reggaeton,93.0,176,62,61,-5,24,24,251,60,31
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,86.0,96,71,82,-4,15,38,185,28,7
Someone You Loved,Lewis Capaldi,pop,88.0,110,41,50,-6,11,45,182,75,3
Otro Trago - Remix,Sech,panamanian pop,87.0,176,79,73,-2,6,76,288,7,20
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,92.0,101,50,83,-4,12,10,205,10,5
No Guidance (feat. Drake),Chris Brown,dance pop,82.0,93,45,70,-7,16,14,261,12,15
LA CANCION,J Balvin,latin,90.0,176,65,75,-6,11,43,243,15,32
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,91.0,90,48,76,-6,7,91,158,56,5
Lalala,Y2K,,88.0,130,39,84,-8,14,50,161,18,8
Truth Hurts,Lizzo,escape room,91.0,158,62,72,-3,12,41,173,11,11
Piece Of Your Heart,MEDUZA,pop house,91.0,124,74,68,-7,7,63,153,4,3
Panini,Lil Nas X,country rap,91.0,154,59,70,-6,12,48,115,34,8
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,83.0,92,79,81,-4,9,58,309,14,7
Soltera - Remix,Lunay,latin,91.0,92,78,80,-4,44,80,266,36,4
bad guy (with Justin Bieber),Billie Eilish,electropop,,135,45,67,-11,12,68,195,25,30
If I Can't Have You,Shawn Mendes,canadian pop,70.0,124,82,69,-4,13,87,191,49,6
Dance Monkey,Tones and I,australian pop,83.0,98,59,82,-6,18,54,210,69,10
It's You,Ali Gatie,canadian hip hop,89.0,96,46,73,-7,19,40,213,37,3
Con Calma,Daddy Yankee,latin,91.0,94,86,74,-3,6,66,193,11,6
QUE PRETENDES,J Balvin,latin,89.0,93,79,64,-4,36,94,222,3,25
Takeaway,The Chainsmokers,edm,84.0,85,51,29,-8,10,36,210,12,4
7 rings,Ariana Grande,dance pop,89.0,140,32,78,-11,9,33,179,59,33
0.958333333333333,Maluma,reggaeton,89.0,96,71,78,-5,9,68,176,22,28
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,89.0,98,59,80,-7,13,18,200,2,15
Never Really Over,Katy Perry,dance pop,89.0,100,88,77,-5,32,39,224,19,6
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,89.0,114,72,66,-7,14,32,164,18,6
Otro Trago,Sech,panamanian pop,91.0,176,70,75,-5,11,62,226,14,34
Antisocial (with Travis Scott),Ed Sheeran,pop,87.0,152,82,72,-5,36,91,162,13,5
Sucker,Jonas Brothers,boy band,80.0,138,73,84,-5,11,95,181,4,6
"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,dance pop,78.0,95,56,81,-6,6,68,199,48,7
Higher Love,Kygo,edm,88.0,104,68,69,-7,10,40,228,2,3
You Need To Calm Down,Taylor Swift,dance pop,90.0,85,68,77,-6,7,73,171,1,5
Shallow,Lady Gaga,dance pop,87.0,96,39,57,-6,23,32,216,37,3
Talk,Khalid,pop,84.0,136,40,90,-9,6,35,198,5,13
Con Altura,ROSALNA,r&b en espanol,88.0,98,69,88,-4,5,75,162,39,12
One Thing Right,Marshmello,brostep,88.0,88,62,66,-2,58,44,182,7,5
Te Robar,Nicky Jam,latin,88.0,176,75,67,-4,8,80,202,24,6
Happier,Marshmello,brostep,,100,79,69,-3,17,67,214,19,5
Call You Mine,The Chainsmokers,edm,88.0,104,70,59,-6,41,50,218,23,3
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,,82.0,95,79,75,-6,7,61,206,21,12
